system:index,Aerosol_Height,City,.geo
0,614.1683072210403,Agartala,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1411.7879218645057,Agra,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1202.2250273212305,Ahmedabad,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1854.992118197189,Ahmednagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1677.5538899621065,Aizawl,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1818.6829769659869,Ajmer,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1346.8832968862496,Akola,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,,Alappuzha,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1276.8819772603242,Aligarh,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1395.2623538584346,Allahabad,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1267.807470122235,Ambattur,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1757.3171803963576,Ambikapur,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1122.47523502705,Amravati,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1351.7424810424313,Amreli,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1160.0726023513187,Amritsar,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1295.4342574447778,Anand,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1410.121086639783,Anantapur,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1402.1872326876733,Arrah,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1222.3573782666606,Asansol,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1409.1370499137981,Aurangabad,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1158.2829154130493,Avadi,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2155.573220449554,Bangalore,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,832.9321957182427,Bardhaman,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1117.9226569940597,Bareilly,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1877.4258135486145,Belgaum,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2019.5527866327334,Bellary,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1218.6356328572715,Berhampur,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1063.1923483823628,Bettiah,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1957.427077601596,Bhagalpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1012.1793113220629,Bharatpur,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1155.8971830787339,Bhatpara,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,153.73226669426458,Bhavnagar,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1419.180558613079,Bhilai,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1343.9167506243991,Bhilwara,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1504.9146911676587,Bhiwandi,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1370.4018462546217,Bhiwani,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1818.5379459669339,Bhopal,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,863.2579818394279,Bhubaneswar,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2370.2147367531293,Bidar,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1250.1494282318854,Bijapur,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1386.6575451325175,Bikaner,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,989.0789158341074,Bilaspur,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1750.4186247059306,Bokaro,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1058.393122576319,Bulandshahr,"{""type"":""MultiPoint"",""coordinates"":[]}"
