"City","Longitude","Latitude","",""
"Agartala","91.2868","23.8315","","{'name': ' Agartala ', 'coords' : [91.2868, 23.8315]},"
"Agra","78.0081","27.1767","","{'name': ' Agra ', 'coords' : [78.0081, 27.1767]},"
"Ahmedabad","72.5714","23.0225","","{'name': ' Ahmedabad ', 'coords' : [72.5714, 23.0225]},"
"Ahmednagar","74.7496","19.0952","","{'name': ' Ahmednagar ', 'coords' : [74.7496, 19.0952]},"
"Aizawl","92.7176","23.7271","","{'name': ' Aizawl ', 'coords' : [92.7176, 23.7271]},"
"Ajmer","74.6399","26.4499","","{'name': ' Ajmer ', 'coords' : [74.6399, 26.4499]},"
"Akola","77.0082","20.7002","","{'name': ' Akola ', 'coords' : [77.0082, 20.7002]},"
"Alappuzha","76.3388","9.4981","","{'name': ' Alappuzha ', 'coords' : [76.3388, 9.4981]},"
"Aligarh","78.088","27.8974","","{'name': ' Aligarh ', 'coords' : [78.088, 27.8974]},"
"Allahabad","81.8463","25.4358","","{'name': ' Allahabad ', 'coords' : [81.8463, 25.4358]},"
"Ambattur","80.1615","13.0982","","{'name': ' Ambattur ', 'coords' : [80.1615, 13.0982]},"
"Ambikapur","83.1954","23.1189","","{'name': ' Ambikapur ', 'coords' : [83.1954, 23.1189]},"
"Amravati","77.7796","20.9374","","{'name': ' Amravati ', 'coords' : [77.7796, 20.9374]},"
"Amreli","71.2226","21.6032","","{'name': ' Amreli ', 'coords' : [71.2226, 21.6032]},"
"Amritsar","74.8723","31.634","","{'name': ' Amritsar ', 'coords' : [74.8723, 31.634]},"
"Anand","72.9289","22.5645","","{'name': ' Anand ', 'coords' : [72.9289, 22.5645]},"
"Anantapur","77.6006","14.6819","","{'name': ' Anantapur ', 'coords' : [77.6006, 14.6819]},"
"Arrah","84.663","25.556","","{'name': ' Arrah ', 'coords' : [84.663, 25.556]},"
"Asansol","86.9833","23.685","","{'name': ' Asansol ', 'coords' : [86.9833, 23.685]},"
"Aurangabad","75.3433","19.8762","","{'name': ' Aurangabad ', 'coords' : [75.3433, 19.8762]},"
"Avadi","80.1098","13.1147","","{'name': ' Avadi ', 'coords' : [80.1098, 13.1147]},"
"Bangalore","77.5946","12.9716","","{'name': ' Bangalore ', 'coords' : [77.5946, 12.9716]},"
"Bardhaman","87.8615","23.2324","","{'name': ' Bardhaman ', 'coords' : [87.8615, 23.2324]},"
"Bareilly","79.4304","28.367","","{'name': ' Bareilly ', 'coords' : [79.4304, 28.367]},"
"Belgaum","74.4977","15.8497","","{'name': ' Belgaum ', 'coords' : [74.4977, 15.8497]},"
"Bellary","76.9214","15.1394","","{'name': ' Bellary ', 'coords' : [76.9214, 15.1394]},"
"Berhampur","84.7914","19.3115","","{'name': ' Berhampur ', 'coords' : [84.7914, 19.3115]},"
"Bettiah","84.5032","26.8024","","{'name': ' Bettiah ', 'coords' : [84.5032, 26.8024]},"
"Bhagalpur","86.9842","25.2425","","{'name': ' Bhagalpur ', 'coords' : [86.9842, 25.2425]},"
"Bharatpur","77.501","27.2152","","{'name': ' Bharatpur ', 'coords' : [77.501, 27.2152]},"
"Bhatpara","88.4085","22.8717","","{'name': ' Bhatpara ', 'coords' : [88.4085, 22.8717]},"
"Bhavnagar","72.1519","21.7645","","{'name': ' Bhavnagar ', 'coords' : [72.1519, 21.7645]},"
"Bhilai","81.3509","21.1938","","{'name': ' Bhilai ', 'coords' : [81.3509, 21.1938]},"
"Bhilwara","74.6333","25.35","","{'name': ' Bhilwara ', 'coords' : [74.6333, 25.35]},"
"Bhiwandi","73.0483","19.2813","","{'name': ' Bhiwandi ', 'coords' : [73.0483, 19.2813]},"
"Bhiwani","76.1333","28.7997","","{'name': ' Bhiwani ', 'coords' : [76.1333, 28.7997]},"
"Bhopal","77.4126","23.2599","","{'name': ' Bhopal ', 'coords' : [77.4126, 23.2599]},"
"Bhubaneswar","85.8245","20.2961","","{'name': ' Bhubaneswar ', 'coords' : [85.8245, 20.2961]},"
"Bidar","77.5301","17.9133","","{'name': ' Bidar ', 'coords' : [77.5301, 17.9133]},"
"Bijapur","75.71","16.8302","","{'name': ' Bijapur ', 'coords' : [75.71, 16.8302]},"
"Bikaner","73.3119","28.0229","","{'name': ' Bikaner ', 'coords' : [73.3119, 28.0229]},"
"Bilaspur","82.1391","22.0796","","{'name': ' Bilaspur ', 'coords' : [82.1391, 22.0796]},"
"Bokaro","86.1511","23.6693","","{'name': ' Bokaro ', 'coords' : [86.1511, 23.6693]},"
"Bulandshahr","77.8573","28.403","","{'name': ' Bulandshahr ', 'coords' : [77.8573, 28.403]},"
"Burhanpur","76.2303","21.3069","","{'name': ' Burhanpur ', 'coords' : [76.2303, 21.3069]},"
"Chandigarh","76.7794","30.7333","","{'name': ' Chandigarh ', 'coords' : [76.7794, 30.7333]},"
"Chennai","80.2707","13.0827","","{'name': ' Chennai ', 'coords' : [80.2707, 13.0827]},"
"Coimbatore","76.9558","11.0168","","{'name': ' Coimbatore ', 'coords' : [76.9558, 11.0168]},"
"Cuttack","85.8828","20.4625","","{'name': ' Cuttack ', 'coords' : [85.8828, 20.4625]},"
