system:index,CO_column_number_density,city,.geo
0,0.04456381430728312,Agartala,"{""type"":""Point"",""coordinates"":[91.2868,23.831499999999995]}"
1,0.042386090434374836,Agra,"{""type"":""Point"",""coordinates"":[78.0081,27.176699999999997]}"
2,0.03948798019492201,Ahmedabad,"{""type"":""Point"",""coordinates"":[72.5714,23.0225]}"
3,0.037611059358169385,Ahmednagar,"{""type"":""Point"",""coordinates"":[74.7496,19.0952]}"
4,0.038089618933859294,Aizawl,"{""type"":""Point"",""coordinates"":[92.7176,23.727099999999997]}"
5,0.035621886701677305,Ajmer,"{""type"":""Point"",""coordinates"":[74.6399,26.4499]}"
6,0.042912862766453654,Akola,"{""type"":""Point"",""coordinates"":[77.0082,20.700200000000002]}"
7,0.04014934122783568,Alappuzha,"{""type"":""Point"",""coordinates"":[76.3388,9.498100000000003]}"
8,0.04218949271254249,Aligarh,"{""type"":""Point"",""coordinates"":[78.088,27.8974]}"
9,0.04544086398393227,Allahabad,"{""type"":""Point"",""coordinates"":[81.8463,25.4358]}"
10,0.039911522713126805,Ambattur,"{""type"":""Point"",""coordinates"":[80.1615,13.098200000000002]}"
11,0.04125030199684433,Ambikapur,"{""type"":""Point"",""coordinates"":[83.1954,23.118899999999996]}"
12,0.042811096277531074,Amravati,"{""type"":""Point"",""coordinates"":[77.7796,20.9374]}"
13,0.03639677751351951,Amreli,"{""type"":""Point"",""coordinates"":[71.2226,21.603199999999998]}"
14,0.040329176989455,Amritsar,"{""type"":""Point"",""coordinates"":[74.8723,31.634]}"
15,0.03881181649251643,Anand,"{""type"":""Point"",""coordinates"":[72.9289,22.5645]}"
16,0.039318503362588866,Anantapur,"{""type"":""Point"",""coordinates"":[77.6006,14.6819]}"
17,0.04542065837261552,Arrah,"{""type"":""Point"",""coordinates"":[84.663,25.556]}"
18,0.049751379384802556,Asansol,"{""type"":""Point"",""coordinates"":[86.9833,23.685]}"
19,0.039415740603458024,Aurangabad,"{""type"":""Point"",""coordinates"":[75.3433,19.8762]}"
20,0.039899200098744564,Avadi,"{""type"":""Point"",""coordinates"":[80.1098,13.114700000000001]}"
21,0.03570408161694545,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
22,0.047758905075760805,Bardhaman,"{""type"":""Point"",""coordinates"":[87.8615,23.2324]}"
23,0.043337935128235236,Bareilly,"{""type"":""Point"",""coordinates"":[79.4304,28.367]}"
24,0.03784467424073933,Belgaum,"{""type"":""Point"",""coordinates"":[74.4977,15.849700000000004]}"
25,0.0405643707717617,Bellary,"{""type"":""Point"",""coordinates"":[76.92140000000002,15.1394]}"
26,0.047234572974922784,Berhampur,"{""type"":""Point"",""coordinates"":[84.7914,19.3115]}"
27,0.04682856912209344,Bettiah,"{""type"":""Point"",""coordinates"":[84.5032,26.8024]}"
28,0.0462492968528376,Bhagalpur,"{""type"":""Point"",""coordinates"":[86.9842,25.2425]}"
29,0.04094454696044381,Bharatpur,"{""type"":""Point"",""coordinates"":[77.501,27.215200000000003]}"
30,0.04707966672005252,Bhatpara,"{""type"":""Point"",""coordinates"":[88.4085,22.8717]}"
31,0.03968946675001955,Bhavnagar,"{""type"":""Point"",""coordinates"":[72.1519,21.7645]}"
32,0.048945417075002835,Bhilai,"{""type"":""Point"",""coordinates"":[81.3509,21.1938]}"
33,0.03742009368909437,Bhilwara,"{""type"":""Point"",""coordinates"":[74.6333,25.35]}"
34,0.041505758023096584,Bhiwandi,"{""type"":""Point"",""coordinates"":[73.0483,19.2813]}"
35,0.04016826618024379,Bhiwani,"{""type"":""Point"",""coordinates"":[76.1333,28.799699999999998]}"
36,0.03897897295367879,Bhopal,"{""type"":""Point"",""coordinates"":[77.4126,23.2599]}"
37,0.04858950283461007,Bhubaneswar,"{""type"":""Point"",""coordinates"":[85.8245,20.2961]}"
38,0.03997424164813719,Bidar,"{""type"":""Point"",""coordinates"":[77.5301,17.913300000000003]}"
39,0.03870718926767357,Bijapur,"{""type"":""Point"",""coordinates"":[75.71,16.8302]}"
40,0.03748549976826319,Bikaner,"{""type"":""Point"",""coordinates"":[73.3119,28.022900000000003]}"
41,0.044746375718011294,Bilaspur,"{""type"":""Point"",""coordinates"":[82.1391,22.079600000000003]}"
42,0.05141565754876889,Bokaro,"{""type"":""Point"",""coordinates"":[86.1511,23.6693]}"
43,0.043263231854527524,Bulandshahr,"{""type"":""Point"",""coordinates"":[77.85730000000001,28.403]}"
