system:index,city,tropospheric_NO2_column_number_density,.geo
0,Agartala,3.629291852270147E-5,"{""type"":""Point"",""coordinates"":[91.2868,23.831499999999995]}"
1,Agra,6.280112120631607E-5,"{""type"":""Point"",""coordinates"":[78.0081,27.176699999999997]}"
2,Ahmedabad,1.0985115533730929E-4,"{""type"":""Point"",""coordinates"":[72.5714,23.0225]}"
3,Ahmednagar,3.70735135947564E-5,"{""type"":""Point"",""coordinates"":[74.7496,19.0952]}"
4,Aizawl,1.8317253115033505E-5,"{""type"":""Point"",""coordinates"":[92.7176,23.727099999999997]}"
5,Ajmer,4.3508971319062004E-5,"{""type"":""Point"",""coordinates"":[74.6399,26.4499]}"
6,Akola,3.627917935058994E-5,"{""type"":""Point"",""coordinates"":[77.0082,20.700200000000002]}"
7,Alappuzha,2.0960915323118755E-5,"{""type"":""Point"",""coordinates"":[76.3388,9.498100000000003]}"
8,Aligarh,7.074446048232471E-5,"{""type"":""Point"",""coordinates"":[78.088,27.8974]}"
9,Allahabad,5.9013431931650086E-5,"{""type"":""Point"",""coordinates"":[81.8463,25.4358]}"
10,Ambattur,6.216218388467851E-5,"{""type"":""Point"",""coordinates"":[80.1615,13.098200000000002]}"
11,Ambikapur,4.853733256160039E-5,"{""type"":""Point"",""coordinates"":[83.1954,23.118899999999996]}"
12,Amravati,3.572658164275794E-5,"{""type"":""Point"",""coordinates"":[77.7796,20.9374]}"
13,Amreli,3.041215099469414E-5,"{""type"":""Point"",""coordinates"":[71.2226,21.603199999999998]}"
14,Amritsar,6.708896272673467E-5,"{""type"":""Point"",""coordinates"":[74.8723,31.634]}"
15,Anand,5.261281104377046E-5,"{""type"":""Point"",""coordinates"":[72.9289,22.5645]}"
16,Anantapur,3.2465553964390996E-5,"{""type"":""Point"",""coordinates"":[77.6006,14.6819]}"
17,Arrah,4.6656384134455434E-5,"{""type"":""Point"",""coordinates"":[84.663,25.556]}"
18,Asansol,1.174004525472856E-4,"{""type"":""Point"",""coordinates"":[86.9833,23.685]}"
19,Aurangabad,4.326821695286066E-5,"{""type"":""Point"",""coordinates"":[75.3433,19.8762]}"
20,Avadi,5.7504192275294485E-5,"{""type"":""Point"",""coordinates"":[80.1098,13.114700000000001]}"
21,Bangalore,8.424111561761496E-5,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
22,Bardhaman,6.84723160872971E-5,"{""type"":""Point"",""coordinates"":[87.8615,23.2324]}"
23,Bareilly,4.733845913646006E-5,"{""type"":""Point"",""coordinates"":[79.4304,28.367]}"
24,Belgaum,3.398161422214664E-5,"{""type"":""Point"",""coordinates"":[74.4977,15.849700000000004]}"
25,Bellary,5.414793169324685E-5,"{""type"":""Point"",""coordinates"":[76.92140000000002,15.1394]}"
26,Berhampur,2.67870433638467E-5,"{""type"":""Point"",""coordinates"":[84.7914,19.3115]}"
27,Bettiah,4.073309355900069E-5,"{""type"":""Point"",""coordinates"":[84.5032,26.8024]}"
28,Bhagalpur,5.6093571171082625E-5,"{""type"":""Point"",""coordinates"":[86.9842,25.2425]}"
29,Bharatpur,4.3175631910461924E-5,"{""type"":""Point"",""coordinates"":[77.501,27.215200000000003]}"
30,Bhatpara,5.624421054570646E-5,"{""type"":""Point"",""coordinates"":[88.4085,22.8717]}"
31,Bhavnagar,3.6877559670868324E-5,"{""type"":""Point"",""coordinates"":[72.1519,21.7645]}"
32,Bhilai,1.278150407090406E-4,"{""type"":""Point"",""coordinates"":[81.3509,21.1938]}"
33,Bhilwara,4.5366818822053346E-5,"{""type"":""Point"",""coordinates"":[74.6333,25.35]}"
34,Bhiwandi,7.299576563474063E-5,"{""type"":""Point"",""coordinates"":[73.0483,19.2813]}"
35,Bhiwani,5.049419065445358E-5,"{""type"":""Point"",""coordinates"":[76.1333,28.799699999999998]}"
36,Bhopal,3.913195848210311E-5,"{""type"":""Point"",""coordinates"":[77.4126,23.2599]}"
37,Bhubaneswar,5.461968844418675E-5,"{""type"":""Point"",""coordinates"":[85.8245,20.2961]}"
38,Bidar,3.0193062391839813E-5,"{""type"":""Point"",""coordinates"":[77.5301,17.913300000000003]}"
39,Bijapur,4.172106329326642E-5,"{""type"":""Point"",""coordinates"":[75.71,16.8302]}"
40,Bikaner,3.475082323179133E-5,"{""type"":""Point"",""coordinates"":[73.3119,28.022900000000003]}"
41,Bilaspur,8.384527044354784E-5,"{""type"":""Point"",""coordinates"":[82.1391,22.079600000000003]}"
42,Bokaro,1.3543359975616386E-4,"{""type"":""Point"",""coordinates"":[86.1511,23.6693]}"
43,Bulandshahr,9.048888482092492E-5,"{""type"":""Point"",""coordinates"":[77.85730000000001,28.403]}"
44,Burhanpur,2.941916180326852E-5,"{""type"":""Point"",""coordinates"":[76.2303,21.3069]}"
45,Chandigarh,6.783411149499415E-5,"{""type"":""Point"",""coordinates"":[76.7794,30.7333]}"
46,Chennai,4.146682708192569E-5,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
47,Coimbatore,4.270486511509139E-5,"{""type"":""Point"",""coordinates"":[76.9558,11.016799999999998]}"
48,Cuttack,5.3310096421002465E-5,"{""type"":""Point"",""coordinates"":[85.8828,20.4625]}"
49,Darbhanga,3.939266304479018E-5,"{""type"":""Point"",""coordinates"":[85.8918,26.1542]}"
50,Davanagere,3.464061373331446E-5,"{""type"":""Point"",""coordinates"":[75.921,14.464499999999996]}"
51,Dehradun,4.433563141844078E-5,"{""type"":""Point"",""coordinates"":[78.0322,30.316499999999994]}"
52,Delhi,1.1803376474358333E-4,"{""type"":""Point"",""coordinates"":[77.1025,28.7041]}"
53,Dhanbad,8.899218630800661E-5,"{""type"":""Point"",""coordinates"":[86.4304,23.7957]}"
54,Dhule,3.2271004814028296E-5,"{""type"":""Point"",""coordinates"":[74.7749,20.9042]}"
55,Dibrugarh,1.918878978653515E-5,"{""type"":""Point"",""coordinates"":[94.911,27.4728]}"
56,Durgapur,2.0161506422116613E-4,"{""type"":""Point"",""coordinates"":[87.3119,23.5204]}"
57,Erode,4.3247598008561033E-5,"{""type"":""Point"",""coordinates"":[77.7172,11.341]}"
58,Faridabad,1.2916640939763472E-4,"{""type"":""Point"",""coordinates"":[77.3178,28.4089]}"
59,Farrukhabad,4.219248833067385E-5,"{""type"":""Point"",""coordinates"":[79.5801,27.3905]}"
60,Firozabad,9.055811026978578E-5,"{""type"":""Point"",""coordinates"":[78.3958,27.1591]}"
61,Gandhinagar,7.167088055427364E-5,"{""type"":""Point"",""coordinates"":[72.6369,23.215599999999995]}"
62,Gaya,4.8740277982825524E-5,"{""type"":""Point"",""coordinates"":[85.0002,24.795500000000004]}"
63,Ghaziabad,1.2203645677797358E-4,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
64,Giridih,4.6524850045920335E-5,"{""type"":""Point"",""coordinates"":[86.3077,24.184400000000004]}"
65,Gopalpur,2.1734863046670184E-5,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,Gulbarga,4.0807629547615736E-5,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,Guna,5.1456717610105145E-5,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,Guntur,3.2868978378201525E-5,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,Gurgaon,1.0549708631769862E-4,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,Guwahati,3.900366381567934E-5,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,Gwalior,4.6951465002521275E-5,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,Hanumangarh,4.5426807679244356E-5,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,Hapur,6.922604785482376E-5,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,Hisar,5.241975219694682E-5,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,Hosur,3.8697065200724674E-5,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,Howrah,8.224573212315565E-5,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
77,Hubli-Dharwad,3.5261470911072405E-5,"{""type"":""Point"",""coordinates"":[75.124,15.3647]}"
78,Hugli,5.729278297348863E-5,"{""type"":""Point"",""coordinates"":[88.4085,22.8964]}"
79,Hyderabad,7.652689911462732E-5,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
80,Ichalkaranji,4.515941210408414E-5,"{""type"":""Point"",""coordinates"":[74.4605,16.6912]}"
81,Indore,4.949948039275574E-5,"{""type"":""Point"",""coordinates"":[75.8577,22.7196]}"
82,Jabalpur,3.544710344797991E-5,"{""type"":""Point"",""coordinates"":[79.9864,23.1815]}"
