system:index,SoilMoi0_10cm_inst,city,.geo
0,25.475988388061523,Agartala,"{""type"":""Point"",""coordinates"":[91.2868,23.831499999999995]}"
1,16.536792755126953,Agra,"{""type"":""Point"",""coordinates"":[78.0081,27.176699999999997]}"
2,20.6588191986084,Ahmedabad,"{""type"":""Point"",""coordinates"":[72.5714,23.0225]}"
3,19.909765243530273,Ahmednagar,"{""type"":""Point"",""coordinates"":[74.7496,19.0952]}"
4,25.35495948791504,Aizawl,"{""type"":""Point"",""coordinates"":[92.7176,23.727099999999997]}"
5,15.532248497009277,Ajmer,"{""type"":""Point"",""coordinates"":[74.6399,26.4499]}"
6,21.66590690612793,Akola,"{""type"":""Point"",""coordinates"":[77.0082,20.700200000000002]}"
7,25.543365478515625,Alappuzha,"{""type"":""Point"",""coordinates"":[76.3388,9.498100000000003]}"
8,17.136272430419922,Aligarh,"{""type"":""Point"",""coordinates"":[78.088,27.8974]}"
9,17.607511520385742,Allahabad,"{""type"":""Point"",""coordinates"":[81.8463,25.4358]}"
10,18.86830711364746,Ambattur,"{""type"":""Point"",""coordinates"":[80.1615,13.098200000000002]}"
11,13.523191452026367,Ambikapur,"{""type"":""Point"",""coordinates"":[83.1954,23.118899999999996]}"
12,22.184572219848633,Amravati,"{""type"":""Point"",""coordinates"":[77.7796,20.9374]}"
13,18.97873878479004,Amreli,"{""type"":""Point"",""coordinates"":[71.2226,21.603199999999998]}"
14,15.783555030822754,Amritsar,"{""type"":""Point"",""coordinates"":[74.8723,31.634]}"
15,13.636016845703125,Anand,"{""type"":""Point"",""coordinates"":[72.9289,22.5645]}"
16,16.80621337890625,Anantapur,"{""type"":""Point"",""coordinates"":[77.6006,14.6819]}"
17,15.179134368896484,Arrah,"{""type"":""Point"",""coordinates"":[84.663,25.556]}"
18,17.732004165649414,Asansol,"{""type"":""Point"",""coordinates"":[86.9833,23.685]}"
19,23.448955535888672,Aurangabad,"{""type"":""Point"",""coordinates"":[75.3433,19.8762]}"
20,18.86830711364746,Avadi,"{""type"":""Point"",""coordinates"":[80.1098,13.114700000000001]}"
21,20.482322692871094,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
22,18.250036239624023,Bardhaman,"{""type"":""Point"",""coordinates"":[87.8615,23.2324]}"
23,16.919105529785156,Bareilly,"{""type"":""Point"",""coordinates"":[79.4304,28.367]}"
24,14.777336120605469,Belgaum,"{""type"":""Point"",""coordinates"":[74.4977,15.849700000000004]}"
25,16.840126037597656,Bellary,"{""type"":""Point"",""coordinates"":[76.92140000000002,15.1394]}"
26,13.862548828125,Berhampur,"{""type"":""Point"",""coordinates"":[84.7914,19.3115]}"
27,15.253561973571777,Bettiah,"{""type"":""Point"",""coordinates"":[84.5032,26.8024]}"
28,16.14265251159668,Bhagalpur,"{""type"":""Point"",""coordinates"":[86.9842,25.2425]}"
29,13.541810035705566,Bharatpur,"{""type"":""Point"",""coordinates"":[77.501,27.215200000000003]}"
30,23.351835250854492,Bhatpara,"{""type"":""Point"",""coordinates"":[88.4085,22.8717]}"
31,16.538917541503906,Bhavnagar,"{""type"":""Point"",""coordinates"":[72.1519,21.7645]}"
32,17.338685989379883,Bhilai,"{""type"":""Point"",""coordinates"":[81.3509,21.1938]}"
33,12.290596961975098,Bhilwara,"{""type"":""Point"",""coordinates"":[74.6333,25.35]}"
34,14.023018836975098,Bhiwandi,"{""type"":""Point"",""coordinates"":[73.0483,19.2813]}"
35,12.069025039672852,Bhiwani,"{""type"":""Point"",""coordinates"":[76.1333,28.799699999999998]}"
36,22.956907272338867,Bhopal,"{""type"":""Point"",""coordinates"":[77.4126,23.2599]}"
37,17.67026138305664,Bhubaneswar,"{""type"":""Point"",""coordinates"":[85.8245,20.2961]}"
38,14.020669937133789,Bidar,"{""type"":""Point"",""coordinates"":[77.5301,17.913300000000003]}"
39,20.626676559448242,Bijapur,"{""type"":""Point"",""coordinates"":[75.71,16.8302]}"
40,15.58149528503418,Bikaner,"{""type"":""Point"",""coordinates"":[73.3119,28.022900000000003]}"
41,13.354253768920898,Bilaspur,"{""type"":""Point"",""coordinates"":[82.1391,22.079600000000003]}"
42,16.745054244995117,Bokaro,"{""type"":""Point"",""coordinates"":[86.1511,23.6693]}"
43,13.43416690826416,Bulandshahr,"{""type"":""Point"",""coordinates"":[77.85730000000001,28.403]}"
44,17.870073318481445,Burhanpur,"{""type"":""Point"",""coordinates"":[76.2303,21.3069]}"
45,17.705568313598633,Chandigarh,"{""type"":""Point"",""coordinates"":[76.7794,30.7333]}"
46,,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
47,21.74102210998535,Coimbatore,"{""type"":""Point"",""coordinates"":[76.9558,11.016799999999998]}"
48,17.67026138305664,Cuttack,"{""type"":""Point"",""coordinates"":[85.8828,20.4625]}"
49,15.325066566467285,Darbhanga,"{""type"":""Point"",""coordinates"":[85.8918,26.1542]}"
50,18.28784942626953,Davanagere,"{""type"":""Point"",""coordinates"":[75.921,14.464499999999996]}"
51,25.46734619140625,Dehradun,"{""type"":""Point"",""coordinates"":[78.0322,30.316499999999994]}"
52,30.398969650268555,Delhi,"{""type"":""Point"",""coordinates"":[77.1025,28.7041]}"
53,18.898191452026367,Dhanbad,"{""type"":""Point"",""coordinates"":[86.4304,23.7957]}"
