system:index,City,Mean_Methane_Level,.geo
0,Agartala,1944.7502847670114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,Agra,1938.8452988736483,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,Ahmedabad,1937.1729178156384,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,Ahmednagar,1916.0995340902057,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,Aizawl,,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,Ajmer,1913.7135001623226,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Akola,1922.88117084997,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,Alappuzha,1926.6385499516643,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,Aligarh,1941.1231230002518,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,Allahabad,1936.4589808698192,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,Ambattur,1928.3355797938677,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,Ambikapur,1921.2403565037655,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,Amravati,1922.4810259892663,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,Amreli,1928.538742196963,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,Amritsar,1919.9203525685693,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,Anand,1930.4725592215254,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,Anantapur,1934.406878678186,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,Arrah,1937.7117652650381,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,Asansol,1930.7106423459802,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,Aurangabad,1929.1700267250649,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,Avadi,1927.3318055194563,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,Bangalore,1929.0968695025272,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,Bardhaman,1939.0242801650106,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,Bareilly,1937.5784260461933,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,Belgaum,1924.5583290114291,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,Bellary,1931.459498832967,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,Berhampur,1929.1073491578172,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,Bettiah,1927.837175455668,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,Bhagalpur,1934.7322000427755,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,Bharatpur,1930.6644225701773,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,Bhatpara,1930.5206951776654,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,Bhavnagar,1930.3614999046438,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,Bhilai,1926.6266759113807,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,Bhilwara,1922.580794113283,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,Bhiwandi,1948.372839155493,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,Bhiwani,1922.8874151069244,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,Bhopal,1925.2281263280497,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,Bhubaneswar,1939.902407218241,"{""type"":""MultiPoint"",""coordinates"":[]}"
