system:index,O3_column_number_density,city,.geo
0,0.12648218653654228,Agartala,"{""type"":""Point"",""coordinates"":[91.2868,23.831499999999995]}"
1,0.1306757379583087,Agra,"{""type"":""Point"",""coordinates"":[78.0081,27.176699999999997]}"
2,0.12493951997342677,Ahmedabad,"{""type"":""Point"",""coordinates"":[72.5714,23.0225]}"
3,0.1217355491772899,Ahmednagar,"{""type"":""Point"",""coordinates"":[74.7496,19.095199999999995]}"
4,0.12518800005441286,Aizawl,"{""type"":""Point"",""coordinates"":[92.7176,23.727099999999997]}"
5,0.12866462774475046,Ajmer,"{""type"":""Point"",""coordinates"":[74.6399,26.449900000000003]}"
6,0.12312257329834152,Akola,"{""type"":""Point"",""coordinates"":[77.0082,20.700200000000002]}"
7,0.11795637449902566,Alappuzha,"{""type"":""Point"",""coordinates"":[76.3388,9.498100000000003]}"
8,0.13183306571598533,Aligarh,"{""type"":""Point"",""coordinates"":[78.088,27.8974]}"
9,0.12863582616257133,Allahabad,"{""type"":""Point"",""coordinates"":[81.8463,25.4358]}"
10,0.11859707910242774,Ambattur,"{""type"":""Point"",""coordinates"":[80.1615,13.098200000000002]}"
11,0.12550837149629684,Ambikapur,"{""type"":""Point"",""coordinates"":[83.1954,23.118899999999996]}"
12,0.12321516951690403,Amravati,"{""type"":""Point"",""coordinates"":[77.7796,20.9374]}"
13,0.12381542073168247,Amreli,"{""type"":""Point"",""coordinates"":[71.2226,21.603199999999998]}"
14,0.14015739707857253,Amritsar,"{""type"":""Point"",""coordinates"":[74.8723,31.634]}"
15,0.12479967992680664,Anand,"{""type"":""Point"",""coordinates"":[72.9289,22.5645]}"
16,0.11902694296428212,Anantapur,"{""type"":""Point"",""coordinates"":[77.6006,14.6819]}"
17,0.12919489436050272,Arrah,"{""type"":""Point"",""coordinates"":[84.663,25.556]}"
18,0.12659683257609564,Asansol,"{""type"":""Point"",""coordinates"":[86.9833,23.685]}"
19,0.12236590408331306,Aurangabad,"{""type"":""Point"",""coordinates"":[75.3433,19.8762]}"
20,0.11874490792392257,Avadi,"{""type"":""Point"",""coordinates"":[80.1098,13.114700000000001]}"
21,0.11817212188721116,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
22,0.12614559010756504,Bardhaman,"{""type"":""Point"",""coordinates"":[87.8615,23.2324]}"
23,0.13279845736098486,Bareilly,"{""type"":""Point"",""coordinates"":[79.4304,28.367000000000004]}"
24,0.12006872556756606,Belgaum,"{""type"":""Point"",""coordinates"":[74.4977,15.849700000000004]}"
25,0.11943947995385473,Bellary,"{""type"":""Point"",""coordinates"":[76.92140000000002,15.1394]}"
26,0.12191103248819879,Berhampur,"{""type"":""Point"",""coordinates"":[84.7914,19.3115]}"
27,0.13092740212607562,Bettiah,"{""type"":""Point"",""coordinates"":[84.5032,26.8024]}"
28,0.1288189095703702,Bhagalpur,"{""type"":""Point"",""coordinates"":[86.9842,25.242500000000003]}"
29,0.13059660943623863,Bharatpur,"{""type"":""Point"",""coordinates"":[77.501,27.215200000000003]}"
30,0.1255520642328478,Bhatpara,"{""type"":""Point"",""coordinates"":[88.4085,22.8717]}"
31,0.12405580512048175,Bhavnagar,"{""type"":""Point"",""coordinates"":[72.1519,21.7645]}"
32,0.12390925773200026,Bhilai,"{""type"":""Point"",""coordinates"":[81.3509,21.1938]}"
33,0.12717140224169468,Bhilwara,"{""type"":""Point"",""coordinates"":[74.6333,25.35]}"
34,0.1224842413230114,Bhiwandi,"{""type"":""Point"",""coordinates"":[73.0483,19.2813]}"
35,0.1331631410721426,Bhiwani,"{""type"":""Point"",""coordinates"":[76.1333,28.799699999999998]}"
36,0.12497590538827556,Bhopal,"{""type"":""Point"",""coordinates"":[77.4126,23.259899999999995]}"
37,0.12296465715068867,Bhubaneswar,"{""type"":""Point"",""coordinates"":[85.8245,20.2961]}"
38,0.12099586347400718,Bidar,"{""type"":""Point"",""coordinates"":[77.5301,17.913300000000003]}"
39,0.12046510763234138,Bijapur,"{""type"":""Point"",""coordinates"":[75.71,16.8302]}"
40,0.13144715328395812,Bikaner,"{""type"":""Point"",""coordinates"":[73.3119,28.022899999999996]}"
41,0.12462747887732566,Bilaspur,"{""type"":""Point"",""coordinates"":[82.1391,22.079600000000003]}"
42,0.1263483768330202,Bokaro,"{""type"":""Point"",""coordinates"":[86.1511,23.669300000000003]}"
43,0.13283553261684855,Bulandshahr,"{""type"":""Point"",""coordinates"":[77.85730000000001,28.403]}"
44,0.12345753702183149,Burhanpur,"{""type"":""Point"",""coordinates"":[76.2303,21.306899999999995]}"
45,0.13755782191434268,Chandigarh,"{""type"":""Point"",""coordinates"":[76.7794,30.7333]}"
46,0.11847575359940261,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
47,0.1179167630018942,Coimbatore,"{""type"":""Point"",""coordinates"":[76.9558,11.016799999999998]}"
48,0.12320514250657517,Cuttack,"{""type"":""Point"",""coordinates"":[85.8828,20.4625]}"
49,0.13025894247761755,Darbhanga,"{""type"":""Point"",""coordinates"":[85.8918,26.1542]}"
50,0.11900789061790779,Davanagere,"{""type"":""Point"",""coordinates"":[75.921,14.464499999999996]}"
51,0.13568927321074492,Dehradun,"{""type"":""Point"",""coordinates"":[78.0322,30.316499999999994]}"
52,0.13324648042614914,Delhi,"{""type"":""Point"",""coordinates"":[77.1025,28.7041]}"
53,0.1265765281728184,Dhanbad,"{""type"":""Point"",""coordinates"":[86.4304,23.7957]}"
54,0.12312174448389458,Dhule,"{""type"":""Point"",""coordinates"":[74.7749,20.9042]}"
55,0.13164493184455187,Dibrugarh,"{""type"":""Point"",""coordinates"":[94.911,27.4728]}"
56,0.1264104794863537,Durgapur,"{""type"":""Point"",""coordinates"":[87.3119,23.520400000000002]}"
57,0.11796651221957286,Erode,"{""type"":""Point"",""coordinates"":[77.7172,11.341]}"
58,0.1327907996681761,Faridabad,"{""type"":""Point"",""coordinates"":[77.3178,28.4089]}"
59,0.13119756343409733,Farrukhabad,"{""type"":""Point"",""coordinates"":[79.5801,27.3905]}"
60,0.13077088309346793,Firozabad,"{""type"":""Point"",""coordinates"":[78.3958,27.1591]}"
61,0.12507275310410812,Gandhinagar,"{""type"":""Point"",""coordinates"":[72.6369,23.2156]}"
62,0.12802171593210776,Gaya,"{""type"":""Point"",""coordinates"":[85.0002,24.795500000000004]}"
63,0.13326197845786955,Ghaziabad,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
64,0.12717841563167928,Giridih,"{""type"":""Point"",""coordinates"":[86.3077,24.184399999999997]}"
65,0.12180684933607892,Gopalpur,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,0.12085092696541556,Gulbarga,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,0.12612148514697122,Guna,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,0.1202583699273241,Guntur,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,0.13275105273562676,Gurgaon,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,0.1295308675888823,Guwahati,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,0.12869585373534467,Gwalior,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,0.13503799079170342,Hanumangarh,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,0.13344974768154266,Hapur,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,0.13408962310202915,Hisar,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,0.11798554035697464,Hosur,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,0.1252128753238192,Howrah,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
77,0.1194913862840959,Hubli-Dharwad,"{""type"":""Point"",""coordinates"":[75.124,15.3647]}"
78,0.12554210743399094,Hugli,"{""type"":""Point"",""coordinates"":[88.4085,22.8964]}"
79,0.12072394743213098,Hyderabad,"{""type"":""Point"",""coordinates"":[78.4867,17.385]}"
80,0.12038115495268016,Ichalkaranji,"{""type"":""Point"",""coordinates"":[74.4605,16.6912]}"
