system:index,SO2_column_number_density,city,.geo
0,4.567936249340312E-5,Agartala,"{""type"":""Point"",""coordinates"":[91.2868,23.831499999999995]}"
1,1.3588065070650366E-4,Agra,"{""type"":""Point"",""coordinates"":[78.0081,27.176699999999997]}"
2,3.3649118614525255E-4,Ahmedabad,"{""type"":""Point"",""coordinates"":[72.5714,23.0225]}"
3,1.2650683777519514E-4,Ahmednagar,"{""type"":""Point"",""coordinates"":[74.7496,19.0952]}"
4,8.049973412119487E-5,Aizawl,"{""type"":""Point"",""coordinates"":[92.7176,23.727099999999997]}"
5,9.043317948854174E-5,Ajmer,"{""type"":""Point"",""coordinates"":[74.6399,26.4499]}"
6,1.554263485352568E-4,Akola,"{""type"":""Point"",""coordinates"":[77.0082,20.700200000000002]}"
7,6.33738477848323E-5,Alappuzha,"{""type"":""Point"",""coordinates"":[76.3388,9.498100000000003]}"
8,2.0916981678218265E-4,Aligarh,"{""type"":""Point"",""coordinates"":[78.088,27.8974]}"
9,1.5104668390382358E-4,Allahabad,"{""type"":""Point"",""coordinates"":[81.8463,25.4358]}"
10,1.0830438617996526E-4,Ambattur,"{""type"":""Point"",""coordinates"":[80.1615,13.098200000000002]}"
11,1.8903385393585873E-4,Ambikapur,"{""type"":""Point"",""coordinates"":[83.1954,23.118899999999996]}"
12,1.6740632410632472E-4,Amravati,"{""type"":""Point"",""coordinates"":[77.7796,20.9374]}"
13,9.441797361271852E-5,Amreli,"{""type"":""Point"",""coordinates"":[71.2226,21.603199999999998]}"
14,2.0247882651491705E-4,Amritsar,"{""type"":""Point"",""coordinates"":[74.8723,31.634]}"
15,1.9890165512749457E-4,Anand,"{""type"":""Point"",""coordinates"":[72.9289,22.5645]}"
16,5.011380575794233E-5,Anantapur,"{""type"":""Point"",""coordinates"":[77.6006,14.6819]}"
17,1.3963903756124775E-4,Arrah,"{""type"":""Point"",""coordinates"":[84.663,25.556]}"
18,3.685652851385436E-4,Asansol,"{""type"":""Point"",""coordinates"":[86.9833,23.685]}"
19,1.1915635036300911E-4,Aurangabad,"{""type"":""Point"",""coordinates"":[75.3433,19.8762]}"
20,9.387627458810657E-5,Avadi,"{""type"":""Point"",""coordinates"":[80.1098,13.114700000000001]}"
21,8.524074835247712E-5,Bangalore,"{""type"":""Point"",""coordinates"":[77.5946,12.971600000000002]}"
22,2.7331361749179106E-4,Bardhaman,"{""type"":""Point"",""coordinates"":[87.8615,23.2324]}"
23,1.1393702704625658E-4,Bareilly,"{""type"":""Point"",""coordinates"":[79.4304,28.367]}"
24,1.2218347145643096E-4,Belgaum,"{""type"":""Point"",""coordinates"":[74.4977,15.849700000000004]}"
25,1.2771325859648966E-4,Bellary,"{""type"":""Point"",""coordinates"":[76.92140000000002,15.1394]}"
26,1.3713106690024915E-4,Berhampur,"{""type"":""Point"",""coordinates"":[84.7914,19.3115]}"
27,1.3556036234811344E-4,Bettiah,"{""type"":""Point"",""coordinates"":[84.5032,26.8024]}"
28,2.0324916600744316E-4,Bhagalpur,"{""type"":""Point"",""coordinates"":[86.9842,25.2425]}"
29,1.2514461931946026E-4,Bharatpur,"{""type"":""Point"",""coordinates"":[77.501,27.215200000000003]}"
30,3.397823849517273E-4,Bhatpara,"{""type"":""Point"",""coordinates"":[88.4085,22.8717]}"
31,1.9638290217643503E-4,Bhavnagar,"{""type"":""Point"",""coordinates"":[72.1519,21.7645]}"
32,4.021646457558231E-4,Bhilai,"{""type"":""Point"",""coordinates"":[81.3509,21.1938]}"
33,2.54868326308323E-4,Bhilwara,"{""type"":""Point"",""coordinates"":[74.6333,25.35]}"
34,2.07536781004453E-4,Bhiwandi,"{""type"":""Point"",""coordinates"":[73.0483,19.2813]}"
35,1.886983252258715E-4,Bhiwani,"{""type"":""Point"",""coordinates"":[76.1333,28.799699999999998]}"
36,9.122984499241815E-5,Bhopal,"{""type"":""Point"",""coordinates"":[77.4126,23.2599]}"
37,3.0901097960766053E-4,Bhubaneswar,"{""type"":""Point"",""coordinates"":[85.8245,20.2961]}"
38,1.0529871476767856E-4,Bidar,"{""type"":""Point"",""coordinates"":[77.5301,17.913300000000003]}"
39,1.786047900774116E-4,Bijapur,"{""type"":""Point"",""coordinates"":[75.71,16.8302]}"
40,1.477375242995811E-4,Bikaner,"{""type"":""Point"",""coordinates"":[73.3119,28.022900000000003]}"
41,3.734442439829957E-4,Bilaspur,"{""type"":""Point"",""coordinates"":[82.1391,22.079600000000003]}"
42,4.339998600415232E-4,Bokaro,"{""type"":""Point"",""coordinates"":[86.1511,23.6693]}"
43,2.0215105439202446E-4,Bulandshahr,"{""type"":""Point"",""coordinates"":[77.85730000000001,28.403]}"
44,1.6628166722725565E-4,Burhanpur,"{""type"":""Point"",""coordinates"":[76.2303,21.3069]}"
45,2.626143541584206E-4,Chandigarh,"{""type"":""Point"",""coordinates"":[76.7794,30.7333]}"
46,8.293196361389783E-5,Chennai,"{""type"":""Point"",""coordinates"":[80.2707,13.0827]}"
47,3.6695101537272216E-5,Coimbatore,"{""type"":""Point"",""coordinates"":[76.9558,11.016799999999998]}"
48,3.6633526830410535E-4,Cuttack,"{""type"":""Point"",""coordinates"":[85.8828,20.4625]}"
49,1.280963832407083E-4,Darbhanga,"{""type"":""Point"",""coordinates"":[85.8918,26.1542]}"
50,7.828357068126807E-5,Davanagere,"{""type"":""Point"",""coordinates"":[75.921,14.464499999999996]}"
51,1.8323399237213232E-4,Dehradun,"{""type"":""Point"",""coordinates"":[78.0322,30.316499999999994]}"
52,3.2727931151359404E-4,Delhi,"{""type"":""Point"",""coordinates"":[77.1025,28.7041]}"
53,2.7413558403825987E-4,Dhanbad,"{""type"":""Point"",""coordinates"":[86.4304,23.7957]}"
54,1.0920747045367305E-4,Dhule,"{""type"":""Point"",""coordinates"":[74.7749,20.9042]}"
55,1.6079297968043426E-4,Dibrugarh,"{""type"":""Point"",""coordinates"":[94.911,27.4728]}"
56,5.942748900476461E-4,Durgapur,"{""type"":""Point"",""coordinates"":[87.3119,23.5204]}"
57,-2.804088907841727E-5,Erode,"{""type"":""Point"",""coordinates"":[77.7172,11.341]}"
58,1.2353463613803264E-4,Faridabad,"{""type"":""Point"",""coordinates"":[77.3178,28.4089]}"
59,8.016617763644222E-5,Farrukhabad,"{""type"":""Point"",""coordinates"":[79.5801,27.3905]}"
60,1.8573379845347423E-4,Firozabad,"{""type"":""Point"",""coordinates"":[78.3958,27.1591]}"
61,2.430904821811284E-4,Gandhinagar,"{""type"":""Point"",""coordinates"":[72.6369,23.215599999999995]}"
62,2.5230691342147376E-4,Gaya,"{""type"":""Point"",""coordinates"":[85.0002,24.795500000000004]}"
63,2.6144368912004633E-4,Ghaziabad,"{""type"":""Point"",""coordinates"":[77.4538,28.669200000000004]}"
64,1.664990602775605E-4,Giridih,"{""type"":""Point"",""coordinates"":[86.3077,24.184400000000004]}"
65,1.0354596156875241E-4,Gopalpur,"{""type"":""Point"",""coordinates"":[84.9053,19.2583]}"
66,1.105233365484284E-4,Gulbarga,"{""type"":""Point"",""coordinates"":[76.8343,17.329700000000003]}"
67,1.7624724034443498E-4,Guna,"{""type"":""Point"",""coordinates"":[77.311,24.6476]}"
68,7.836857676996127E-5,Guntur,"{""type"":""Point"",""coordinates"":[80.4365,16.3067]}"
69,2.1271411190788205E-4,Gurgaon,"{""type"":""Point"",""coordinates"":[77.0266,28.4595]}"
70,1.965776944792675E-4,Guwahati,"{""type"":""Point"",""coordinates"":[91.7362,26.1445]}"
71,1.0703681990936876E-4,Gwalior,"{""type"":""Point"",""coordinates"":[78.1828,26.2183]}"
72,1.7341634424061753E-4,Hanumangarh,"{""type"":""Point"",""coordinates"":[74.32940000000002,29.581800000000005]}"
73,3.540061446372444E-4,Hapur,"{""type"":""Point"",""coordinates"":[77.7759,28.7306]}"
74,2.454625234695106E-4,Hisar,"{""type"":""Point"",""coordinates"":[75.7217,29.149199999999997]}"
75,7.26530379544825E-5,Hosur,"{""type"":""Point"",""coordinates"":[77.8253,12.740100000000002]}"
76,3.4163486879880926E-4,Howrah,"{""type"":""Point"",""coordinates"":[88.26360000000001,22.5958]}"
